lambda,TR_star,TE_star,boundary_optimum
1e-08,4000,25,True
1.4677992676220705e-08,4000,25,True
2.1544346900318822e-08,4000,25,True
3.162277660168379e-08,4000,25,True
4.641588833612782e-08,4000,25,True
6.812920690579608e-08,4000,25,True
1e-07,4000,25,True
1.4677992676220674e-07,4000,25,True
2.1544346900318822e-07,4000,25,True
3.162277660168379e-07,4000,25,True
4.6415888336127725e-07,4000,25,True
6.812920690579608e-07,4000,25,True
1e-06,4000,25,True
1.4677992676220675e-06,4000,25,True
2.1544346900318822e-06,4000,25,True
3.162277660168379e-06,4000,25,True
4.641588833612773e-06,4000,25,True
6.8129206905796085e-06,4000,25,True
9.999999999999999e-06,3300,35,False
1.4677992676220675e-05,300,10,True
2.1544346900318823e-05,250,10,True
3.1622776601683795e-05,200,10,True
4.641588833612772e-05,200,10,True
6.812920690579608e-05,200,10,True
0.0001,200,10,True
