epoch,train_loss,val_loss,lr,epoch_time_sec
1,0.5319291220697591,1.0281406815331269,0.0001,52.08503603935242
2,0.4790052888004895,1.0318659223654028,0.0001,51.63615441322327
3,0.4605625644579961,0.9457183355410735,0.0001,51.7974648475647
4,0.40473320459900314,0.8419823768496961,0.0001,51.81341624259949
5,0.29062607375729305,0.7711810125740485,0.0001,51.966153144836426
6,0.22032613818721067,0.8233738680051059,0.0001,52.05355477333069
7,0.1940774600942033,0.7338826111778436,0.0001,52.0645592212677
8,0.1787965380615695,0.683563773204494,0.0001,52.12893199920654
9,0.16638826707938398,0.6771122590284172,0.0001,52.083425998687744
10,0.14993012814034587,0.6481433371063409,0.0001,52.109230279922485
11,0.13546629637958402,0.647122767785829,0.0001,52.18864631652832
12,0.1202041422843801,0.6554964871480121,0.0001,52.114221811294556
13,0.10983510698685268,0.7591451038185196,0.0001,52.166372776031494
14,0.10162689152614539,0.705463735184438,0.0001,52.099170446395874
15,0.08936432255250207,0.8209823615465035,5e-05,52.07283973693848
16,0.08145285980136675,0.7591317606938673,5e-05,52.02832651138306
